word,Information
investigatedno,"[['00419', 1, [21]]]"
invis,"[['00792', 1, [68]]]"
invit,"[['01193', 1, [1]], ['00759', 1, [45]]]"
invitro,"[['00123', 1, [10]]]"
invivo,"[['00484', 1, [144]], ['00123', 1, [11]]]"
invok,"[['00058', 1, [12]]]"
involv,"[['00144', 2, [19, 161]], ['01192', 1, [29]], ['00157', 1, [29]], ['00567', 1, [54]], ['00095', 1, [62]], ['00314', 1, [33]], ['01119', 1, [87]], ['00973', 1, [120]], ['00761', 1, [29]], ['01221', 1, [24]], ['01073', 1, [74]], ['00237', 1, [35]], ['00597', 1, [72]], ['00371', 2, [33, 39]], ['00337', 1, [54]], ['01197', 2, [191, 206]], ['00882', 1, [20]], ['00495', 1, [11]], ['00462', 1, [94]], ['00564', 1, [82]], ['01175', 2, [27, 88]], ['00534', 1, [13]], ['00944', 1, [17]], ['01217', 1, [21]], ['00305', 1, [17]], ['00215', 5, [72, 86, 126, 141, 170]], ['01047', 1, [146]], ['00773', 1, [16]], ['00494', 1, [28]], ['00938', 1, [15]], ['00210', 1, [19]], ['00678', 1, [44]], ['00467', 1, [69]], ['00370', 1, [121]], ['00030', 1, [19]], ['00089', 1, [121]], ['00860', 1, [54]], ['00365', 1, [29]], ['00587', 1, [72]], ['00398', 1, [19]], ['00250', 1, [3]], ['00153', 1, [39]], ['00017', 2, [2, 41]], ['00446', 1, [77]], ['00585', 1, [100]], ['00955', 2, [150, 187]], ['00841', 1, [24]], ['00350', 1, [43]], ['00118', 1, [137]], ['01132', 1, [32]], ['01174', 1, [55]], ['01186', 1, [23]], ['00504', 1, [9]], ['00322', 1, [72]], ['00763', 1, [32]], ['00789', 1, [33]], ['00865', 1, [83]], ['01194', 1, [51]], ['00856', 3, [57, 85, 111]], ['00140', 1, [98]], ['00330', 1, [19]], ['01118', 1, [25]], ['00840', 1, [139]], ['00223', 1, [41]], ['00135', 1, [10]], ['00121', 1, [64]], ['00479', 1, [21]], ['00610', 1, [84]], ['00442', 1, [10]], ['01097', 1, [24]], ['00742', 1, [122]], ['00723', 2, [3, 17]], ['00516', 1, [46]], ['01109', 1, [18]], ['00472', 1, [28]], ['00970', 1, [55]], ['00757', 1, [14]], ['00859', 1, [40]], ['00326', 1, [49]], ['00553', 1, [32]], ['00473', 1, [79]], ['00623', 1, [47]], ['01068', 1, [49]], ['00960', 1, [117]], ['00340', 1, [26]], ['00735', 1, [3]], ['01083', 2, [38, 119]], ['00549', 3, [42, 47, 52]], ['01151', 2, [20, 99]], ['00510', 1, [66]], ['00505', 1, [39]], ['00063', 1, [121]], ['00415', 1, [99]], ['00915', 5, [16, 22, 31, 36, 38]], ['00823', 1, [66]], ['00806', 1, [28]], ['00751', 1, [24]], ['00022', 1, [99]], ['00064', 1, [14]], ['00870', 1, [2]], ['00481', 1, [43]], ['00522', 4, [24, 41, 101, 131]], ['00254', 1, [27]], ['00333', 1, [99]], ['00299', 1, [26]], ['00756', 1, [40]], ['00921', 1, [24]], ['00925', 1, [104]], ['00519', 1, [79]], ['00941', 1, [10]], ['00617', 1, [45]], ['00690', 1, [14]], ['00559', 1, [131]], ['00162', 1, [10]], ['00733', 2, [16, 38]], ['00719', 1, [10]], ['01072', 1, [22]], ['00493', 1, [99]], ['00432', 1, [47]], ['01019', 1, [23]], ['00803', 1, [166]], ['00297', 1, [35]], ['00629', 1, [46]], ['00603', 1, [23]], ['00283', 1, [48]], ['00024', 1, [127]], ['00355', 2, [30, 95]]]"
iodid,"[['00295', 5, [3, 10, 37, 84, 109]], ['00906', 2, [20, 31]], ['01165', 2, [78, 87]], ['00163', 5, [5, 16, 36, 91, 107]]]"
iodideinduc,"[['00295', 2, [86, 94]], ['00906', 1, [1]]]"
iodin,"[['00295', 3, [9, 15, 58]], ['00792', 3, [10, 29, 42]]]"
iodine131ros,"[['00149', 1, [76]]]"
iodinerich,"[['00295', 1, [22]]]"
iodoacet,"[['00847', 1, [27]]]"
ion,"[['00818', 2, [70, 122]], ['00741', 2, [22, 42]], ['00765', 3, [34, 48, 102]], ['00392', 1, [51]], ['00141', 1, [23]], ['00637', 1, [12]], ['00172', 1, [131]], ['00053', 1, [49]], ['00490', 1, [18]], ['00484', 2, [12, 31]], ['00716', 1, [69]], ['00312', 1, [56]], ['00256', 1, [43]], ['00086', 1, [100]], ['00091', 1, [58]], ['00470', 1, [29]], ['01167', 1, [51]], ['01062', 1, [33]], ['01201', 1, [15]], ['00418', 1, [70]], ['00713', 1, [74]], ['00655', 1, [157]], ['00568', 2, [18, 61]], ['00441', 3, [88, 109, 132]], ['00171', 1, [31]], ['00749', 1, [54]], ['01120', 2, [17, 102]], ['00921', 2, [20, 43]], ['00461', 1, [24]], ['00189', 1, [26]], ['01185', 1, [17]]]"
ionic,"[['00405', 1, [26]], ['00922', 1, [3]], ['00440', 1, [104]], ['00139', 1, [63]], ['00484', 1, [125]], ['00416', 1, [88]], ['00868', 1, [21]]]"
ionophor,"[['00827', 1, [19]], ['00741', 2, [11, 16]], ['00484', 2, [34, 42]], ['00957', 3, [14, 28, 72]]]"
ionselect,"[['00818', 1, [15]], ['00817', 2, [9, 35]], ['00638', 2, [8, 25]], ['00795', 2, [2, 14]]]"
ionsensit,"[['00716', 1, [13]]]"
ionsleect,"[['00403', 1, [34]]]"
ionspecif,"[['00037', 1, [3]], ['00261', 1, [12]], ['00404', 1, [43]]]"
iontophoresi,"[['00037', 1, [73]], ['00916', 1, [40]], ['00337', 3, [2, 11, 39]], ['00677', 1, [9]], ['00773', 1, [66]], ['00147', 1, [100]], ['00929', 1, [17]], ['00981', 1, [20]], ['00978', 1, [44]], ['00611', 1, [113]], ['00596', 1, [93]], ['00471', 1, [47]]]"
ip,"[['01197', 1, [46]]]"
ippb,"[['01150', 1, [53]]]"
ipr,"[['00742', 2, [36, 212]]]"
iq,"[['00145', 1, [29]], ['00272', 2, [69, 102]]]"
ir,"[['01091', 1, [114]], ['00714', 1, [117]]]"
iranian,"[['00880', 1, [47]], ['00836', 1, [14]]]"
iraqi,"[['00880', 1, [42]], ['00704', 2, [3, 62]]]"
ireland,"[['00073', 7, [6, 13, 28, 64, 86, 88, 111]], ['01094', 3, [4, 10, 22]]]"
iron,"[['00098', 5, [41, 45, 54, 63, 113]], ['00251', 14, [3, 26, 29, 52, 54, 57, 59, 68, 70, 79, 89, 100, 105, 129]], ['00068', 4, [22, 28, 40, 48]], ['00709', 9, [3, 6, 34, 42, 61, 65, 103, 107, 117]], ['01158', 2, [14, 26]], ['01218', 1, [52]], ['00943', 1, [48]]]"
iron59f,"[['00708', 1, [3]]]"
irradi,"[['01108', 1, [35]]]"
irregular,"[['00364', 1, [35]], ['01125', 1, [87]]]"
irrespect,"[['00288', 1, [24]], ['00109', 1, [21]]]"
irrespons,"[['00542', 1, [24]]]"
irrevers,"[['00305', 1, [79]], ['01195', 1, [15]], ['00472', 2, [26, 38]], ['00067', 1, [67]], ['01023', 1, [19]]]"
irrig,"[['01119', 1, [72]], ['00844', 2, [23, 95]], ['01009', 1, [12]]]"
irrit,"[['00542', 3, [33, 66, 116]], ['01003', 1, [206]], ['00298', 1, [87]], ['00363', 1, [39]]]"
irt,"[['01133', 2, [8, 26]], ['01128', 4, [11, 48, 67, 69]], ['01135', 4, [9, 35, 41, 61]]]"
ischem,"[['00801', 1, [54]]]"
isl,"[['00617', 1, [36]]]"
island,"[['00130', 1, [28]]]"
islet,"[['00652', 2, [89, 95]], ['00245', 4, [7, 47, 57, 66]], ['00522', 2, [27, 55]], ['00299', 1, [22]]]"
isletbind,"[['00245', 2, [19, 25]]]"
isoamylas,"[['00654', 5, [2, 18, 22, 27, 40]], ['01206', 1, [169]], ['00462', 4, [5, 69, 73, 119]], ['00150', 4, [33, 42, 62, 105]], ['00602', 4, [1, 15, 35, 57]], ['00645', 8, [3, 21, 26, 28, 40, 48, 64, 70]], ['00777', 4, [17, 22, 28, 37]], ['00412', 4, [2, 12, 24, 29]], ['00345', 9, [3, 8, 31, 39, 77, 98, 108, 127, 135]]]"
isoelectr,"[['00746', 2, [9, 23]], ['01210', 2, [5, 17]], ['00862', 1, [47]], ['00225', 1, [89]], ['00410', 1, [12]], ['00119', 2, [10, 22]], ['00739', 1, [5]], ['00529', 2, [91, 97]], ['00738', 2, [5, 151]], ['01211', 1, [40]], ['00954', 1, [16]], ['00740', 2, [10, 39]], ['00304', 2, [5, 29]], ['01085', 2, [25, 173]], ['01059', 1, [36]], ['00530', 2, [5, 17]], ['00407', 3, [1, 12, 31]], ['01130', 1, [110]], ['00573', 4, [10, 26, 56, 79]], ['00949', 1, [35]], ['00854', 1, [58]], ['00171', 1, [29]], ['00749', 2, [5, 246]], ['00249', 2, [19, 29]], ['00747', 1, [11]]]"
isoelectrofocus,"[['00521', 1, [47]]]"
isoenzym,"[['00410', 7, [2, 8, 32, 46, 51, 71, 82]], ['01053', 2, [3, 40]], ['00150', 2, [4, 9]], ['00059', 2, [11, 31]], ['00141', 1, [157]], ['00344', 2, [6, 11]], ['00777', 2, [3, 8]], ['00345', 1, [54]], ['00959', 3, [71, 88, 97]], ['00584', 4, [4, 17, 28, 81]], ['00355', 4, [1, 13, 44, 88]]]"
isohemagglutinin,"[['00048', 1, [58]]]"
isol,"[['00248', 2, [35, 58]], ['00458', 2, [54, 61]], ['01221', 4, [15, 54, 87, 91]], ['00054', 2, [4, 34]], ['00718', 2, [9, 21]], ['00405', 2, [12, 32]], ['00371', 1, [15]], ['00043', 1, [71]], ['00269', 1, [13]], ['00827', 2, [14, 33]], ['00876', 1, [15]], ['00374', 1, [17]], ['01026', 2, [19, 33]], ['00165', 1, [83]], ['00604', 1, [20]], ['00156', 1, [38]], ['00467', 1, [50]], ['00887', 4, [1, 8, 54, 85]], ['00451', 3, [49, 57, 100]], ['00409', 2, [9, 15]], ['00260', 2, [4, 11]], ['00436', 1, [87]], ['00265', 1, [15]], ['00401', 2, [30, 41]], ['00325', 1, [80]], ['00554', 4, [5, 20, 27, 32]], ['00753', 1, [39]], ['00179', 5, [16, 25, 36, 81, 89]], ['01065', 1, [28]], ['00535', 1, [70]], ['00829', 2, [29, 38]], ['00460', 1, [89]], ['00555', 1, [12]], ['00890', 1, [56]], ['01086', 6, [6, 29, 39, 78, 120, 128]], ['00177', 3, [33, 45, 50]], ['00190', 1, [72]], ['00923', 3, [17, 34, 44]], ['00256', 2, [7, 18]], ['00589', 2, [44, 137]], ['00125', 2, [11, 54]], ['01042', 1, [21]], ['01010', 2, [9, 29]], ['00479', 2, [41, 51]], ['00086', 2, [11, 87]], ['01090', 4, [2, 13, 42, 49]], ['00791', 1, [91]], ['00080', 1, [38]], ['00706', 1, [12]], ['01005', 1, [25]], ['00469', 2, [46, 62]], ['01167', 2, [9, 22]], ['00342', 1, [47]], ['00614', 1, [39]], ['00138', 1, [35]], ['00061', 2, [59, 83]], ['00748', 1, [44]], ['01030', 2, [14, 33]], ['01166', 1, [23]], ['00067', 1, [105]], ['00532', 1, [79]], ['00249', 1, [11]], ['01120', 1, [86]], ['00884', 5, [11, 19, 40, 50, 62]], ['00161', 1, [16]], ['00550', 1, [75]], ['00905', 1, [48]], ['00950', 6, [3, 12, 24, 33, 58, 71]], ['00832', 1, [15]], ['00143', 1, [43]], ['01185', 1, [40]]]"
isom,"[['00676', 1, [34]]]"
isomer,"[['01092', 1, [97]]]"
isometr,"[['01058', 1, [42]]]"
isomolar,"[['01092', 1, [87]]]"
isoprenalin,"[['01150', 1, [49]]]"
isoproterenol,"[['00973', 1, [45]], ['01197', 3, [10, 50, 129]], ['01003', 6, [6, 34, 59, 106, 143, 199]], ['00548', 2, [24, 49]], ['00786', 1, [43]], ['01223', 1, [17]], ['00873', 1, [14]], ['00961', 2, [5, 22]], ['00742', 6, [11, 35, 97, 126, 174, 201]], ['00543', 4, [12, 27, 36, 107]], ['01068', 1, [69]], ['01157', 2, [55, 110]], ['01029', 1, [126]]]"
isoproterenolstimul,"[['00548', 1, [5]], ['00961', 4, [28, 69, 103, 123]]]"
isoton,"[['01003', 1, [40]], ['00533', 1, [47]], ['00441', 2, [29, 62]]]"
isotop,"[['00660', 1, [15]]]"
isovolum,"[['00024', 1, [14]]]"
isozym,"[['00367', 1, [37]]]"
isp,"[['01075', 6, [13, 26, 35, 68, 89, 92]]]"
israel,"[['00880', 3, [3, 15, 53]]]"
issu,"[['00440', 1, [59]], ['01105', 1, [63]], ['00999', 3, [23, 30, 58]], ['00607', 1, [94]], ['00658', 1, [94]], ['01123', 1, [7]], ['00898', 1, [9]], ['01083', 1, [100]], ['00586', 1, [24]]]"
ital,"[['00293', 1, [81]]]"
item,"[['01089', 1, [55]]]"
iu,"[['00011', 2, [61, 64]], ['00878', 1, [39]]]"
iu1,"[['00852', 1, [44]]]"
iul,"[['00462', 1, [45]]]"
iv,"[['00122', 1, [7]], ['00955', 1, [63]], ['00545', 1, [57]], ['00976', 1, [96]], ['00726', 1, [133]], ['00749', 1, [7]], ['00536', 1, [9]], ['00993', 1, [30]]]"
j,"[['01004', 1, [7]], ['00759', 2, [8, 9]], ['00233', 1, [24]], ['00844', 2, [131, 140]], ['01091', 6, [88, 106, 115, 144, 153, 160]], ['00293', 1, [89]], ['00607', 3, [106, 113, 123]], ['01149', 1, [194]], ['00048', 1, [115]], ['00216', 1, [31]], ['00544', 1, [71]], ['00733', 2, [71, 80]], ['00109', 2, [66, 72]], ['00714', 3, [118, 125, 142]]]"
jackson,"[['01098', 1, [13]]]"
jacobsen,"[['00243', 1, [39]]]"
jakel,"[['00069', 1, [98]]]"
januari,"[['00879', 2, [14, 16]], ['00722', 1, [17]], ['01091', 1, [72]], ['00783', 1, [14]], ['00661', 1, [17]]]"
jaundic,"[['00900', 1, [19]], ['00870', 1, [53]], ['00690', 2, [3, 78]], ['00474', 2, [8, 17]]]"
jchain,"[['00401', 1, [25]]]"
jd,"[['00544', 1, [55]]]"
jejun,"[['00466', 1, [8]], ['00563', 5, [23, 47, 62, 74, 109]], ['00755', 1, [8]], ['00034', 3, [33, 57, 80]], ['00002', 1, [86]]]"
jejunum,"[['00895', 2, [12, 103]], ['00277', 1, [21]], ['01200', 1, [12]], ['00509', 1, [63]], ['01209', 2, [9, 24]], ['00302', 2, [15, 20]], ['01076', 3, [10, 15, 51]], ['00966', 2, [7, 9]]]"
jensen,"[['00649', 1, [35]]]"
jersey,"[['00679', 1, [81]]]"
jersey76,"[['00678', 1, [12]]]"
jersey76avictoria75,"[['00679', 2, [5, 19]]]"
jerseynj76,"[['00678', 1, [24]]]"
jesus,"[['01120', 1, [99]]]"
jet,"[['00031', 1, [51]]]"
jew,"[['00880', 2, [44, 48]]]"
jewett,"[['01091', 1, [151]]]"
jm,"[['00844', 1, [148]]]"
johannesburg,"[['01226', 1, [15]]]"
john,"[['00916', 1, [21]], ['00322', 1, [29]]]"
joint,"[['00183', 1, [17]], ['01097', 2, [22, 34]], ['00579', 1, [40]], ['00559', 1, [133]]]"
jone,"[['00206', 1, [36]]]"
journal,"[['00898', 1, [10]], ['01122', 1, [44]]]"
judg,"[['00963', 1, [101]], ['00062', 1, [100]], ['00794', 1, [91]], ['00660', 1, [40]], ['00102', 1, [95]], ['00260', 1, [112]], ['00179', 1, [118]], ['00244', 2, [69, 103]], ['00300', 1, [84]], ['00326', 1, [69]], ['00364', 1, [22]], ['00348', 1, [79]]]"
judgement,"[['00420', 1, [38]], ['00556', 1, [49]]]"
judici,"[['01070', 1, [92]], ['01001', 1, [15]]]"
juic,"[['00583', 1, [27]], ['00398', 1, [39]], ['00955', 3, [37, 75, 120]], ['01016', 2, [16, 145]], ['00005', 4, [4, 10, 43, 62]]]"
juli,"[['00395', 1, [21]]]"
junction,"[['00075', 1, [59]], ['00300', 1, [65]], ['00047', 1, [40]], ['00588', 1, [30]], ['00531', 1, [99]]]"
june,"[['00783', 1, [16]], ['00291', 1, [38]], ['00395', 1, [19]], ['00661', 1, [19]]]"
justifi,"[['00811', 1, [18]], ['00331', 1, [45]], ['01099', 1, [49]], ['00083', 1, [75]], ['00301', 1, [53]], ['00311', 1, [50]], ['01174', 1, [66]], ['00709', 1, [119]], ['00060', 1, [44]], ['00877', 1, [77]]]"
juvenil,"[['00654', 1, [33]], ['00245', 2, [10, 37]], ['00275', 4, [4, 14, 42, 56]], ['01097', 1, [29]], ['00041', 1, [24]]]"
juvenileonset,"[['01008', 1, [45]]]"
k,"[['00811', 1, [113]], ['00804', 1, [54]], ['00468', 2, [26, 71]], ['00217', 1, [8]], ['00172', 2, [110, 120]], ['00785', 1, [80]], ['00140', 1, [52]], ['00216', 1, [8]], ['00218', 1, [8]], ['00080', 1, [19]], ['01108', 1, [18]], ['00418', 1, [47]], ['00532', 3, [113, 119, 122]], ['00974', 1, [15]]]"
k2so4,"[['00795', 1, [71]]]"
kallidin,"[['00891', 1, [30]]]"
kallikrein,"[['00681', 2, [51, 65]], ['00891', 2, [18, 48]]]"
kallikreinkinin,"[['00681', 1, [74]], ['00505', 1, [22]]]"
kallman,"[['00042', 2, [4, 22]]]"
kamaryt,"[['01206', 1, [60]]]"
kanamycin,"[['01042', 3, [12, 82, 109]]]"
kansa,"[['00693', 1, [7]]]"
kappa,"[['00509', 3, [35, 51, 88]], ['00670', 3, [2, 19, 47]]]"
kappachain,"[['00509', 2, [1, 6]]]"
kappachainbear,"[['00509', 1, [67]]]"
kappatyp,"[['00509', 2, [60, 82]]]"
kartagen,"[['01194', 1, [46]], ['00010', 3, [4, 9, 23]]]"
katznelson,"[['00985', 1, [12]]]"
kauffmann,"[['00607', 1, [135]]]"
kdiss,"[['00967', 1, [43]]]"
keep,"[['00315', 1, [21]], ['00461', 1, [21]]]"
kept,"[['01199', 1, [126]], ['00520', 1, [29]]]"
keratin,"[['00119', 2, [15, 51]], ['00294', 1, [50]]]"
kern,"[['00658', 2, [7, 96]]]"
ketaminediazepam,"[['00224', 1, [113]]]"
ketoacidosi,"[['00416', 1, [27]], ['00770', 1, [37]]]"
ketoacidot,"[['00416', 1, [43]]]"
key,"[['00739', 1, [50]], ['00517', 1, [91]], ['00450', 1, [8]], ['00743', 1, [12]]]"
kfree,"[['00124', 1, [68]]]"
kg,"[['01003', 2, [29, 37]], ['00660', 5, [63, 104, 111, 136, 156]], ['00209', 1, [35]], ['00667', 1, [146]]]"
kgvalu,"[['00209', 1, [49]]]"
ki,"[['00675', 1, [45]], ['00956', 1, [50]]]"
kidney,"[['00046', 1, [83]], ['00686', 1, [36]], ['00406', 1, [15]], ['00394', 1, [40]], ['00545', 1, [85]], ['00223', 1, [28]], ['00643', 1, [47]], ['01081', 2, [55, 63]], ['01078', 1, [83]]]"
kieselguhr,"[['00313', 1, [28]]]"
kill,"[['00018', 1, [55]], ['01230', 3, [1, 27, 41]], ['00765', 1, [31]], ['00840', 2, [92, 106]], ['00342', 1, [54]], ['00655', 1, [154]], ['00745', 4, [70, 73, 80, 86]]]"
kilogram,"[['00686', 1, [98]], ['00414', 1, [33]], ['00123', 1, [68]], ['00093', 1, [75]], ['00544', 1, [27]]]"
kinas,"[['00973', 4, [62, 69, 85, 100]], ['00453', 1, [91]]]"
kind,"[['00400', 1, [79]], ['01146', 1, [22]], ['00080', 1, [59]], ['00846', 1, [30]]]"
kinet,"[['00124', 2, [63, 79]], ['01139', 1, [59]], ['00624', 1, [22]], ['00660', 2, [3, 12]], ['01222', 1, [59]], ['00850', 1, [16]], ['00453', 1, [56]], ['00675', 1, [10]], ['00576', 1, [12]], ['01021', 2, [42, 70]], ['00568', 1, [48]], ['00171', 1, [25]], ['01055', 1, [37]], ['00625', 2, [14, 77]]]"
kinin,"[['01217', 1, [85]], ['00891', 1, [6]], ['00921', 2, [17, 33]]]"
kininogen,"[['00681', 1, [60]], ['00779', 2, [32, 111]], ['00891', 1, [57]]]"
kit,"[['00102', 1, [43]]]"
klebsiella,"[['00148', 1, [50]], ['01065', 1, [16]], ['01077', 2, [23, 45]], ['00271', 1, [22]]]"
klibsiella,"[['00384', 1, [36]]]"
klin,"[['00607', 1, [154]], ['01039', 1, [92]]]"
klinic,"[['00980', 1, [23]]]"
km,"[['00575', 1, [88]], ['00850', 1, [49]], ['01059', 2, [51, 86]], ['00053', 1, [54]], ['00847', 2, [56, 81]], ['00675', 1, [60]], ['00960', 1, [41]], ['00747', 1, [32]]]"
kms,"[['00857', 1, [43]], ['00625', 1, [35]]]"
knee,"[['00183', 1, [15]]]"
knew,"[['00678', 1, [40]]]"
know,"[['00911', 1, [26]], ['00652', 1, [87]], ['00104', 1, [58]], ['00091', 1, [66]], ['01068', 1, [7]], ['01122', 1, [25]], ['00090', 1, [36]], ['00687', 1, [31]], ['00201', 1, [46]]]"
knowledg,"[['00515', 2, [102, 116]], ['00043', 1, [96]], ['00386', 1, [41]], ['00134', 1, [37]], ['00440', 2, [53, 87]], ['00398', 1, [76]], ['00443', 1, [13]], ['00373', 2, [11, 33]], ['00203', 2, [6, 58]], ['00450', 1, [68]], ['00998', 1, [73]], ['01224', 1, [43]], ['00332', 1, [92]], ['00723', 1, [33]], ['00979', 1, [23]], ['00970', 1, [34]], ['00326', 1, [27]], ['00835', 1, [23]], ['00241', 1, [50]], ['00096', 1, [44]], ['00690', 1, [57]], ['00360', 1, [141]], ['00010', 1, [14]], ['00014', 1, [19]], ['00267', 1, [14]], ['00168', 1, [58]]]"
known,"[['00248', 2, [44, 83]], ['00351', 1, [42]], ['01156', 1, [33]], ['00515', 1, [45]], ['00186', 1, [12]], ['00973', 1, [48]], ['00911', 1, [46]], ['00270', 1, [90]], ['00495', 1, [10]], ['00018', 1, [118]], ['00759', 1, [13]], ['00122', 3, [27, 29, 72]], ['00542', 1, [32]], ['00215', 2, [42, 97]], ['00134', 1, [91]], ['00370', 1, [39]], ['00866', 1, [42]], ['00592', 1, [36]], ['00260', 1, [160]], ['01115', 2, [9, 90]], ['00566', 1, [30]], ['00281', 1, [80]], ['00501', 1, [105]], ['00293', 3, [35, 53, 60]], ['00500', 1, [15]], ['00264', 1, [37]], ['00644', 1, [18]], ['00268', 1, [23]], ['00619', 1, [28]], ['00659', 1, [33]], ['00730', 1, [14]], ['00490', 1, [42]], ['00423', 1, [50]], ['00789', 1, [22]], ['01096', 1, [26]], ['00503', 1, [41]], ['00652', 1, [59]], ['00069', 1, [86]], ['00330', 1, [76]], ['00849', 1, [84]], ['00048', 1, [88]], ['00104', 1, [143]], ['00416', 1, [17]], ['00404', 1, [23]], ['00610', 1, [55]], ['00997', 1, [23]], ['00197', 1, [55]], ['00670', 1, [17]], ['00379', 1, [27]], ['00965', 1, [27]], ['01130', 1, [96]], ['01167', 1, [37]], ['00328', 1, [43]], ['00776', 1, [102]], ['00487', 1, [21]], ['00949', 1, [93]], ['01218', 1, [10]], ['00915', 1, [18]], ['00292', 1, [30]], ['00377', 1, [36]], ['00666', 1, [52]], ['00885', 1, [42]], ['00556', 1, [15]], ['00897', 1, [14]], ['00975', 1, [51]]]"
kodak,"[['00954', 1, [61]]]"
kojowski,"[['01131', 1, [54]]]"
kollberg,"[['00280', 2, [14, 44]]]"
kossa,"[['01193', 1, [69]]]"
kplus,"[['00655', 1, [102]]]"
krebsring,"[['00563', 1, [78]]]"
kulcycki,"[['00692', 1, [14]]]"
kulczycki,"[['00268', 1, [80]], ['01165', 1, [58]]]"
kupffer,"[['00165', 1, [47]]]"
kyphosi,"[['00859', 3, [11, 14, 19]]]"
l,"[['00499', 1, [31]]]"
l3hfucos,"[['00528', 3, [15, 40, 80]]]"
la,"[['00287', 2, [12, 29]]]"
lab,"[['00714', 1, [152]]]"
label,"[['00023', 1, [50]], ['00269', 1, [31]], ['00972', 1, [52]], ['01063', 1, [38]], ['00750', 1, [30]], ['00561', 1, [61]], ['00829', 2, [13, 27]], ['00563', 1, [81]], ['00528', 1, [104]], ['00708', 1, [26]], ['00190', 1, [81]], ['00125', 1, [104]], ['00710', 3, [63, 74, 112]], ['01142', 1, [44]], ['00702', 1, [43]], ['00352', 1, [75]]]"
labial,"[['00077', 2, [36, 105]]]"
labil,"[['00358', 1, [2]], ['00018', 1, [112]], ['00819', 2, [5, 99]], ['00211', 4, [5, 41, 55, 63]], ['00341', 1, [2]], ['00528', 1, [24]], ['00206', 5, [3, 10, 20, 46, 63]], ['01157', 1, [38]], ['00770', 1, [34]], ['00950', 1, [77]]]"
labor,"[['00801', 1, [31]], ['00844', 1, [53]], ['00056', 1, [40]]]"
laboratori,"[['00746', 2, [34, 92]], ['00990', 2, [28, 62]], ['00811', 2, [42, 64]], ['00916', 1, [11]], ['00913', 2, [16, 33]], ['00008', 1, [29]], ['00887', 1, [83]], ['00046', 1, [45]], ['00445', 1, [104]], ['00392', 1, [54]], ['00660', 1, [33]], ['00196', 1, [70]], ['00436', 1, [19]], ['00501', 1, [10]], ['00293', 1, [17]], ['00740', 2, [22, 88]], ['00301', 1, [46]], ['00784', 1, [44]], ['00521', 1, [15]], ['01123', 1, [34]], ['00721', 1, [36]], ['00502', 1, [39]], ['01136', 1, [13]], ['01052', 2, [39, 56]], ['00509', 1, [12]], ['00652', 1, [32]], ['00019', 2, [99, 151]], ['00087', 1, [52]], ['01097', 1, [26]], ['01083', 1, [47]], ['00060', 1, [78]], ['00943', 1, [22]], ['00691', 1, [7]], ['00138', 1, [41]], ['01122', 3, [16, 24, 30]], ['00870', 1, [68]], ['00333', 1, [32]], ['01148', 1, [70]], ['00049', 1, [51]], ['00360', 1, [93]], ['00719', 1, [2]], ['00403', 1, [1]], ['00684', 1, [28]]]"
lacey,"[['00086', 1, [24]]]"
lack,"[['00157', 2, [16, 24]], ['00225', 1, [79]], ['00027', 1, [26]], ['00367', 1, [39]], ['01233', 1, [25]], ['01216', 1, [85]], ['01217', 1, [67]], ['00913', 1, [30]], ['00542', 1, [46]], ['01106', 1, [42]], ['00046', 1, [26]], ['00150', 1, [30]], ['01091', 1, [16]], ['00732', 1, [58]], ['00612', 1, [13]], ['01123', 1, [8]], ['00717', 1, [27]], ['01052', 1, [34]], ['00359', 3, [14, 30, 48]], ['00315', 1, [55]], ['01131', 1, [30]], ['00577', 3, [56, 61, 67]], ['01146', 1, [32]], ['00087', 1, [53]], ['00167', 1, [34]], ['00610', 1, [100]], ['00992', 1, [54]], ['00822', 1, [76]], ['01125', 1, [37]], ['01002', 1, [86]], ['00290', 1, [90]], ['01083', 1, [51]], ['00936', 1, [9]], ['01203', 1, [77]], ['00573', 1, [38]], ['00823', 1, [62]], ['00655', 1, [24]], ['01122', 1, [56]], ['01030', 1, [81]], ['00982', 1, [81]], ['00959', 1, [31]], ['00435', 1, [19]], ['00760', 1, [69]], ['00498', 1, [29]], ['00832', 1, [40]], ['00798', 1, [124]]]"
lactas,"[['01176', 3, [3, 32, 35]], ['00466', 1, [48]], ['00482', 4, [38, 39, 59, 64]], ['00932', 1, [21]], ['00301', 1, [79]], ['00319', 2, [42, 75]], ['01154', 1, [2]], ['00901', 3, [40, 54, 67]]]"
lactat,"[['00525', 1, [36]]]"
lactic,"[['00070', 1, [35]]]"
lactoferrin,"[['01229', 2, [15, 27]], ['01170', 1, [11]], ['01228', 2, [26, 38]]]"
lactos,"[['00482', 1, [73]]]"
lactosefre,"[['01154', 2, [49, 76]]]"
lag,"[['00567', 1, [69]], ['00526', 1, [41]], ['00582', 1, [23]]]"
lake,"[['00628', 1, [8]]]"
lalalph,"[['00466', 2, [27, 49]]]"
lambda,"[['00509', 1, [45]], ['00670', 2, [20, 48]]]"
lambdatyp,"[['00670', 1, [3]]]"
lamblia,"[['00298', 1, [82]], ['01051', 1, [100]]]"
lancet,"[['00544', 1, [49]], ['00714', 1, [96]]]"
land,"[['00511', 1, [74]]]"
landstein,"[['00776', 1, [33]]]"
lanthanum,"[['01201', 1, [73]]]"
